ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
1,James Harden,26.0,HOU,SG,82,82,3125.0,0.439,14.4,0.594,0.246,0.124,0.105,0.12,0.406,.494,.650,.328,.426,.402,.359,0.181,0.521,0.011,16,0.094,.274,0,0,"MVP-9,AS"
2,Gordon Hayward,25.0,UTA,SF,80,80,2893.0,0.433,13.6,0.659,0.209,0.182,0.128,0.14,0.341,.477,.622,.438,.409,.375,.349,0.32,0.797,0.051,52,0.234,.385,2,0,
3,Kemba Walker,25.0,CHO,PG,81,81,2885.0,0.427,14.8,0.632,0.25,0.092,0.091,0.2,0.368,.459,.598,.336,.380,.376,.371,0.189,0.599,0.0,0,0.106,.404,4,1,
4,Trevor Ariza,30.0,HOU,SF,81,81,2859.0,0.416,16.2,0.419,0.255,0.054,0.035,0.077,0.581,.478,.594,.283,.267,.318,.371,0.599,0.914,0.068,55,0.415,.430,1,0,DPOY-13
5,Marcus Morris,26.0,DET,SF,80,80,2856.0,0.434,15.0,0.685,0.158,0.106,0.213,0.211,0.315,.467,.671,.340,.383,.457,.362,0.348,0.926,0.016,15,0.285,.329,2,0,
6,Khris Middleton,24.0,MIL,SG,79,79,2852.0,0.444,15.2,0.684,0.146,0.123,0.189,0.226,0.316,.466,.635,.397,.440,.415,.396,0.415,0.888,0.02,22,0.224,.432,2,0,
7,Kyle Lowry,29.0,TOR,PG,77,77,2851.0,0.427,15.6,0.543,0.216,0.141,0.07,0.117,0.457,.461,.602,.355,.357,.386,.388,0.17,0.684,0.0,0,0.101,.491,2,1,"MVP-10,DPOY-13,AS,NBA3"
8,Andrew Wiggins,20.0,MIN,SF,81,81,2845.0,0.459,10.9,0.853,0.321,0.158,0.132,0.243,0.147,.486,.648,.456,.386,.347,.300,0.51,0.825,0.07,84,0.158,.400,1,0,
9,Giannis Antetokounmpo,21.0,MIL,PG,80,79,2823.0,0.506,7.5,0.892,0.509,0.18,0.058,0.143,0.108,.537,.684,.346,.288,.359,.257,0.485,0.821,0.143,141,0.321,.343,4,0,
10,Paul George,25.0,IND,SF,81,81,2819.0,0.418,16.2,0.609,0.168,0.081,0.118,0.242,0.391,.447,.602,.415,.351,.397,.371,0.319,0.71,0.024,32,0.239,.415,0,0,"AS,NBA3,DEF2"
11,Draymond Green,25.0,GSW,PF,81,81,2808.0,0.49,10.0,0.685,0.488,0.144,0.023,0.029,0.315,.537,.618,.339,.368,.292,.388,0.618,0.96,0.061,47,0.093,.417,1,0,"MVP-7,DPOY-2,AS,NBA2,DEF1"
12,DeMar DeRozan,26.0,TOR,SG,78,78,2804.0,0.446,11.2,0.899,0.226,0.213,0.214,0.247,0.101,.458,.630,.433,.415,.359,.338,0.252,0.83,0.029,36,0.424,.441,3,0,AS
13,Kentavious Caldwell-Pope,22.0,DET,SG,76,76,2789.0,0.42,14.8,0.616,0.228,0.116,0.107,0.166,0.384,.489,.639,.333,.476,.396,.309,0.481,0.842,0.027,23,0.266,.378,5,0,
14,John Wall,25.0,WAS,PG,77,77,2784.0,0.424,13.7,0.757,0.29,0.064,0.094,0.31,0.243,.448,.598,.302,.370,.359,.351,0.188,0.67,0.032,40,0.116,.368,2,0,AS
15,CJ McCollum,24.0,POR,SG,80,80,2780.0,0.448,14.7,0.67,0.174,0.149,0.147,0.201,0.33,.463,.522,.408,.476,.443,.417,0.203,0.721,0.008,10,0.214,.436,0,0,MIP-1
16,Russell Westbrook,27.0,OKC,PG,80,80,2750.0,0.454,10.9,0.764,0.377,0.11,0.171,0.106,0.236,.503,.596,.409,.429,.392,.296,0.177,0.426,0.054,69,0.1,.265,1,0,"MVP-4,AS,NBA1"
17,Monta Ellis,30.0,IND,SG,81,81,2734.0,0.427,14.4,0.724,0.236,0.088,0.109,0.292,0.276,.472,.593,.478,.441,.383,.309,0.221,0.724,0.006,6,0.287,.383,5,0,
18,LeBron James,31.0,CLE,SF,76,76,2709.0,0.52,9.6,0.801,0.459,0.119,0.093,0.129,0.199,.573,.722,.361,.348,.404,.309,0.378,0.598,0.083,111,0.117,.273,0,0,"MVP-3,DPOY-11,AS,NBA1"
19,Joe Johnson,34.0,2TM,SF,81,81,2703.0,0.439,15.1,0.636,0.075,0.246,0.156,0.159,0.364,.471,.594,.474,.507,.372,.383,0.206,0.892,0.0,0,0.339,.415,3,0,
19,Joe Johnson,34.0,BRK,SF,57,57,1934.0,0.406,16.0,0.623,0.063,0.232,0.156,0.173,0.377,.427,.579,.426,.474,.333,.371,0.241,0.906,0.0,0,0.279,.422,2,0,
